lat,lon,radiance,bortle
33.03,130.68,2.0124,4
33.03,130.69,1.6157,4
33.03,130.7,1.1304,4
33.03,130.71,0.9885,3
33.03,130.72,1.3371,4
33.03,130.73,0.9592,3
33.03,130.76,1.0059,4
33.03,130.77,0.7937,3
33.03,130.9,0.8425,3
33.03,130.91,0.8258,3
33.04,126.14,15.3781,7
33.04,126.15,6.7781,6
33.04,126.16,16.4635,7
33.04,126.17,16.9172,7
33.04,126.18,15.2957,7
33.04,126.19,7.6205,6
33.04,126.2,4.2736,5
33.04,126.21,2.7817,5
33.04,126.22,9.2447,6
33.04,126.23,4.2646,5
33.04,126.43,1.3539,4
33.04,126.55,1.1802,4
33.04,126.58,6.2844,6
33.04,126.62,1.5932,4
33.04,126.63,2.0154,4
33.04,129.1,0.3922,2
33.04,129.61,0.6392,3
33.04,129.62,3.0752,5
33.04,129.63,5.3453,6
33.04,129.64,1.5554,4
33.04,129.65,1.5498,4
33.04,129.66,1.4554,4
33.04,129.67,0.9225,3
33.04,129.68,0.6724,3
33.04,129.69,0.8746,3
33.04,129.7,1.1243,4
33.04,129.71,0.7323,3
33.04,129.72,0.7244,3
33.04,129.73,1.3791,4
33.04,129.74,1.7066,4
33.04,129.75,2.1922,4
33.04,129.76,0.9633,3
33.04,129.77,0.6703,3
33.04,129.9,0.7242,3
33.04,129.91,2.6638,5
33.04,129.92,2.9336,5
33.04,129.93,1.5583,4
33.04,129.94,0.783,3
33.04,129.95,0.6582,3
33.04,129.96,0.5917,3
33.04,129.99,0.6609,3
33.04,130.11,0.5655,3
33.04,130.12,0.6333,3
33.04,130.17,0.9732,3
33.04,130.18,0.5388,3
33.04,130.41,1.0113,4
33.04,130.42,3.5582,5
33.04,130.43,19.4146,7
33.04,130.44,38.8551,8
33.04,130.45,22.9659,7
33.04,130.46,15.8867,7
33.04,130.47,11.4729,7
33.04,130.48,7.2903,6
33.04,130.49,2.7262,5
33.04,130.5,1.6959,4
33.04,130.51,1.3131,4
33.04,130.52,1.0534,4
33.04,130.53,0.9858,3
33.04,130.55,0.8088,3
33.04,130.56,1.3549,4
33.04,130.57,1.2924,4
33.04,130.58,1.1051,4
33.04,130.62,0.966,3
33.04,130.63,0.8462,3
33.04,130.68,1.4521,4
33.04,130.69,1.1345,4
33.04,130.7,0.781,3
33.04,130.71,0.7275,3
33.04,130.72,0.6557,3
33.04,130.73,0.6281,3
33.05,125.79,0.8483,3
33.05,125.88,1.3811,4
33.05,125.9,2.8638,5
33.05,125.91,1.0971,4
33.05,125.93,3.9483,5
33.05,126.1,12.0504,7
33.05,126.11,9.2669,6
33.05,126.13,18.4022,7
33.05,126.14,13.0916,7
33.05,126.15,9.8259,6
33.05,126.16,13.6392,7
33.05,126.17,7.8675,6
33.05,126.18,11.976,7
33.05,126.19,6.9304,6
33.05,126.2,12.5512,7
33.05,126.21,3.6873,5
33.05,126.29,3.8435,5
33.05,126.3,5.3874,6
33.05,126.34,2.2563,4
33.05,126.35,3.8358,5
33.05,126.36,1.5089,4
33.05,126.43,0.9674,3
33.05,126.62,1.5981,4
33.05,126.63,5.9866,6
33.05,127.48,1.3112,4
33.05,129.61,0.6562,3
33.05,129.62,2.0199,4
33.05,129.63,7.3995,6
33.05,129.64,2.032,4
33.05,129.65,1.0546,4
33.05,129.66,1.3311,4
33.05,129.67,1.0336,4
33.05,129.69,0.7193,3
33.05,129.7,0.6535,3
33.05,129.72,1.0926,4
33.05,129.73,1.3965,4
33.05,129.74,1.0365,4
33.05,129.75,1.5671,4
33.05,129.76,2.0557,4
33.05,129.77,1.2741,4
33.05,129.82,0.672,3
33.05,129.83,0.893,3
33.05,129.84,1.1805,4
33.05,129.85,1.8007,4
33.05,129.86,0.8289,3
33.05,129.89,0.6537,3
33.05,129.9,0.9162,3
33.05,129.91,0.7635,3
33.05,129.92,0.9094,3
33.05,129.93,1.0837,4
33.05,129.94,0.9075,3
33.05,129.95,1.5665,4
33.05,129.96,0.7286,3
33.05,130.11,0.6122,3
33.05,130.12,0.5011,3
33.05,130.15,0.5659,3
33.05,130.16,0.6202,3
33.05,130.17,1.2978,4
33.05,130.18,0.586,3
